ingredient_type,ingredient,moisture,ash_fm,cp_fm,adf_fm,ee_fm,true fat_fm,ndf_fm,me_fm,nel_fm,nem_fm,neg_fm,ms,ash,cp,adf,ee,true_fat,ndf,me,nel,nem,neg,de,eb,a
feed,wheat_middlings_25_starch,12.10,4.50,14.30,,3.50,2.52,33.90,2480.00,1580.00,1695.00,1125.00,87.90,5.12,16.27,0.00,3.98,2.87,38.57,2821.39,1797.50,1928.33,1279.86,71.90,4381.75,wheat_middlings_25_starch
feed,wheat_flour_30_starch,11.80,3.90,14.70,,3.50,2.52,29.20,2540.00,1625.00,1740.00,1160.00,88.20,4.42,16.67,0.00,3.97,2.86,33.11,2879.82,1842.40,1972.79,1315.19,,4417.66,No encontrado
feed,bakery_byproduct_2_5_ash,9.20,2.50,10.40,,9.50,9.31,7.50,3320.00,2190.00,2320.00,1670.00,90.80,2.75,11.45,0.00,10.46,10.25,8.26,3656.39,2411.89,2555.07,1839.21,,4776.56,No encontrado
feed,bakery_byproduct_6_ash,10.40,6.00,10.70,,7.60,7.45,12.00,3075.00,2010.00,2135.00,1500.00,89.60,6.70,11.94,0.00,8.48,8.31,13.39,3431.92,2243.30,2382.81,1674.11,,4499.49,No encontrado
feed,bread_byproduct,7.90,2.60,13.00,,2.70,2.62,7.90,3000.00,1950.00,2075.00,1440.00,92.10,2.82,14.12,0.00,2.93,2.84,8.58,3257.33,2117.26,2252.99,1563.52,,4391.68,No encontrado
feed,malt_rootlets_barley_sprouts,9.50,6.50,19.10,,1.50,0.90,40.20,2540.00,1620.00,1735.00,1150.00,90.50,7.18,21.10,0.00,1.66,0.99,44.42,2806.63,1790.06,1917.13,1270.72,,4233.37,No encontrado
feed,whole_acorn,37.50,1.60,2.60,,4.80,4.32,18.60,1715.00,1090.00,1170.00,770.00,62.50,2.56,4.16,0.00,7.68,6.91,29.76,2744.00,1744.00,1872.00,1232.00,,4519.84,No encontrado
feed,acorn_decorticated,42.80,1.20,3.20,,5.30,4.77,7.50,1900.00,1240.00,1315.00,920.00,57.20,2.10,5.59,0.00,9.27,8.34,13.11,3321.68,2167.83,2298.95,1608.39,,4650.49,No encontrado
feed,tapioca_62_5,11.60,6.10,2.40,,0.50,0.20,10.50,2500.00,1620.00,1710.00,1135.00,88.40,6.90,2.71,0.00,0.57,0.23,11.88,2828.05,1832.58,1934.39,1283.94,,3908.78,No encontrado
feed,tapioca_65,11.80,5.50,2.40,,0.50,0.20,8.50,2520.00,1610.00,1725.00,1150.00,88.20,6.24,2.72,0.00,0.57,0.23,9.64,2857.14,1825.40,1955.78,1303.85,,3938.19,No encontrado
feed,tapioca_70,11.00,4.50,2.50,,0.50,0.20,6.50,2600.00,1665.00,1780.00,1190.00,89.00,5.06,2.81,0.00,0.56,0.22,7.30,2921.35,1870.79,2000.00,1337.08,,3991.12,No encontrado
feed,molasses_sugarcane,27.40,9.40,4.30,,0.10,0.02,0.00,1980.00,1260.00,1350.00,890.00,72.60,12.95,5.92,0.00,0.14,0.03,0.00,2727.27,1735.54,1859.50,1225.90,76.60,3666.86,molasses_sugarcane
feed,molasses_beet,28.20,8.70,9.10,,0.10,0.02,0.00,1880.00,1190.00,1280.00,830.00,71.80,12.12,12.67,0.00,0.14,0.03,0.00,2618.38,1657.38,1782.73,1155.99,85.90,3804.76,molasses_beet
feed,vinasses_beet,47.00,17.60,17.90,,0.30,0.06,0.00,1025.00,630.00,685.00,410.00,53.00,33.21,33.77,0.00,0.57,0.11,0.00,1933.96,1188.68,1292.45,773.58,,3217.17,No encontrado
feed,potato_dehydrated,11.00,5.80,8.90,,0.50,0.40,7.00,2520.00,1610.00,1725.00,1145.00,89.00,6.52,10.00,0.00,0.56,0.45,7.87,2831.46,1808.99,1938.20,1286.52,,4034.72,No encontrado
feed,sweet_potato_dehydrated,12.00,2.80,3.30,,0.70,0.49,8.80,2640.00,1695.00,1815.00,1225.00,88.00,3.18,3.75,0.00,0.80,0.56,10.00,3000.00,1926.14,2062.50,1392.05,,4100.80,No encontrado
feed,cotton_seed_whole,9.10,3.70,20.80,,17.80,16.90,39.80,2910.00,1885.00,2000.00,1385.00,90.90,4.07,22.88,0.00,19.58,18.59,43.78,3201.32,2073.71,2200.22,1523.65,64.00,5400.73,cotton_seed_whole
feed,cotton_seed_meal_38_cp,10.00,6.00,38.70,,1.60,1.06,31.10,2170.00,1360.00,1465.00,935.00,90.00,6.67,43.00,0.00,1.78,1.17,34.56,2411.11,1511.11,1627.78,1038.89,,4591.22,No encontrado
feed,lupin_australian,9.30,3.50,31.70,,4.90,4.17,25.10,2960.00,1920.00,2050.00,1420.00,90.70,3.86,34.95,0.00,5.40,4.59,27.67,3263.51,2116.87,2260.20,1565.60,89.00,4797.00,lupin_australian
feed,peanut_meal_48_cp,9.50,6.00,48.10,,1.50,0.98,13.30,2700.00,1730.00,1850.00,1250.00,90.50,6.63,53.15,0.00,1.66,1.08,14.70,2983.43,1911.60,2044.20,1381.22,,4738.34,No encontrado
feed,peanut_meal_52_cp,8.10,5.00,52.50,,1.35,0.88,12.40,2800.00,1800.00,1925.00,1305.00,91.90,5.44,57.13,0.00,1.47,0.95,13.49,3046.79,1958.65,2094.67,1420.02,,4839.78,No encontrado
feed,camelina_meal_national,8.80,5.90,37.00,,3.00,2.10,32.20,2450.00,1550.00,1670.00,1095.00,91.20,6.47,40.57,0.00,3.29,2.30,35.31,2686.40,1699.56,1831.14,1200.66,,4648.11,No encontrado
feed,camelina_meal_expeller,7.50,5.70,33.90,,13.60,10.88,25.10,2990.00,1940.00,2065.00,1430.00,92.50,6.16,36.65,0.00,14.70,11.76,27.14,3232.43,2097.30,2232.43,1545.95,,5241.95,No encontrado
feed,rapeseed_meal_00,8.80,4.00,19.00,,40.70,38.67,17.00,4315.00,2975.00,3100.00,2440.00,91.20,4.39,20.83,0.00,44.63,42.40,18.64,4731.36,3262.06,3399.12,2675.44,,6758.64,No encontrado
