diet_tag,region,subregion,class_flex,ingredient,ingredient_share,ingredient_type
diet_dairy_mature,spain,north,dry_phase,mg_oxide_calcined_magnesite,0,concentrate
diet_dairy_mature,spain,north,dry_phase,urea,0,concentrate
diet_dairy_mature,spain,north,dry_phase,mixed_calcium_soaps,0,concentrate
diet_dairy_mature,spain,north,dry_phase,straw_cereals_wheat_and_barley,36.6,forage
diet_dairy_mature,spain,north,dry_phase,alfalfa_hay_first,0,forage
diet_dairy_mature,spain,north,dry_phase,ryegrass_hay_second,0,forage
diet_dairy_mature,spain,north,dry_phase,corn_silage_25_30,0,forage
diet_dairy_mature,spain,north,dry_phase,ryegrass_silage_second,0,forage
diet_dairy_mature,spain,north,dry_phase,cereals_silage_wheat_barley_oat_triticale,63.4,forage
diet_dairy_mature,spain,north,dry_phase,wheat_silage_25_30,0,forage
diet_dairy_mature,spain,north,dry_phase,barley_silage_25_30,0,forage
diet_dairy_mature,spain,north,dry_phase,oat_silage_25_30,0,forage
diet_dairy_mature,spain,north,dry_phase,triticale_silage_25_30,0,forage
diet_dairy_mature,spain,north,dry_phase,sorghum_silage_25_30,0,forage
diet_dairy_mature,spain,north,dry_phase,alfalfa_silage,0,forage
diet_dairy_calves_replacement,spain,south,,corn_national,60.85,concentrate
diet_dairy_calves_replacement,spain,south,,corn_gluten_feed_20_5_cp,0,concentrate
diet_dairy_calves_replacement,spain,south,,barley_2_rows_national_11_3_cp,0,concentrate
diet_dairy_calves_replacement,spain,south,,wheat_soft_national_12_9_cp,0,concentrate
diet_dairy_calves_replacement,spain,south,,wheat_middlings_25_starch,0,concentrate
diet_dairy_calves_replacement,spain,south,,soybean_meal_44_cp,0,concentrate
diet_dairy_calves_replacement,spain,south,,soybean_meal_47_cp,0,concentrate
diet_dairy_calves_replacement,spain,south,,soybean_hulls_12_cp,0,concentrate
diet_dairy_calves_replacement,spain,south,,rapeseed_meal_00_33_cp,32.5,concentrate
diet_dairy_calves_replacement,spain,south,,sunflower_meal_32_cp,0,concentrate
diet_dairy_calves_replacement,spain,south,,oat_hulls,0,concentrate
diet_dairy_calves_replacement,spain,south,,beet_pulp_4_ash,0,concentrate
diet_dairy_calves_replacement,spain,south,,molasses_beet,0,concentrate
diet_dairy_calves_replacement,spain,south,,cotton_seed_whole,0,concentrate
diet_dairy_calves_replacement,spain,south,,brewers_grains,0,concentrate
diet_dairy_calves_replacement,spain,south,,brewery_yeast,0,concentrate
diet_dairy_calves_replacement,spain,south,,sodium_bicarbonate,0,concentrate
