ingredient_type,ingredient,MS_pct,ASH_pct,CP_pct,EE_pct,NDF_pct,DE_pct,ED_kcalkg,swine_ME_kcal_kg,poultry_ME_kcal_kg
concentrate,meat_meal_44_15_28,93.6,29.91,46.69,16.45,1.6,NA,4445.51,2884.615385,2580.128205
concentrate,meat_meal_50_14_26,94.6,27.48,52.11,15.22,1.59,NA,4564.85,2986.257928,2727.272727
concentrate,meat_meal_52_14_25,95.8,26.3,54.59,14.72,1.57,0,4625.97,3089.770355,2818.371608
concentrate,meat_meal_57_13_24,96,24.58,58.96,13.65,1.56,NA,4707.28,3161.458333,2937.5
concentrate,poultry_byproduct,90.3,6.76,68.44,21.37,1.66,NA,6065.88,3826.135105,3975.636766
concentrate,poultry_meat_meal,96.5,16.37,67.15,13.47,1.45,NA,5181.29,3497.409326,3264.248705
concentrate,fish_meal_national_59_9_21,92,23.37,64.13,9.78,1.63,NA,4621.35,3358.695652,3184.782609
concentrate,fish_meal_national_62_9_18,92.2,20.07,67.46,9.98,1.63,NA,4827.7,3497.830803,3335.140998
concentrate,fish_meal_67_10_15,92.8,16.27,71.77,10.13,1.62,NA,5067.95,3706.896552,3523.706897
concentrate,fish_meal_70_9_13,93,13.44,75.27,10.22,0.86,NA,5250.01,3860.215054,3709.677419
concentrate,feather_meal_hydrolyzed,93.2,2.36,90.02,6.44,1.07,NA,5747.1,3304.72103,3165.236052
concentrate,blood_meal_spray,92,3.8,94.57,0.87,0,NA,5440.07,3760.869565,3369.565217
concentrate,hemoglobine,93.5,3.53,97.86,0.53,0,NA,5482.26,3930.481283,3700.534759
concentrate,animal_plasma_70_cp,91.4,18.82,77.24,0.88,0,NA,4519.8,3473.741794,3118.161926
concentrate,animal_plasma_78_cp,91.4,8.32,85.34,0.66,0,NA,5090.98,3840.262582,3446.389497
concentrate,egg_meal,94,5.32,50,40.43,0,NA,6920,5553.191489,6010.638298
concentrate,mucose_hydrolyzed_52_cp,94.2,13.16,56.16,2.76,4.25,NA,4557.92,3694.267516,3237.791932
concentrate,mucose_hydrolyzed_62_cp,95.5,25.76,64.92,2.2,0,NA,4103.56,3497.382199,3350.78534
concentrate,mucose_hydrolyzed_70_cp,96.4,17.95,72.72,0.1,0,NA,4446.6,3713.692946,3578.838174
concentrate,casein,91,2.86,95.6,0.88,0,NA,5497.44,4208.791209,4175.824176
concentrate,skimmed_milk,95,8.21,36,0.95,0,95,4371.96,3805.263158,3031.578947
concentrate,skimmed_milk_denatured,94.4,8.58,36.02,1.06,2.44,NA,4362.14,3691.737288,2913.135593
concentrate,wheypowder_acid,95.6,12.55,9.83,0.94,0,92,3787.89,3399.58159,2290.794979
concentrate,wheypowder_sweet_sheep,95.7,8.78,14.73,1.04,0,NA,4032.87,3594.566353,2612.330199
concentrate,wheypowder_sweet_cattle,95.5,9.01,13.09,0.94,0,92,3992.55,3518.324607,2575.91623
concentrate,wheypowder_50_fat,97.2,4.63,6.38,51.44,0,NA,6912.62,6028.806584,5452.674897
concentrate,wheypowder_partially_lactose_free_22_39_22,95,24.74,22.11,2.95,0,NA,3548.29,3105.263158,2231.578947
concentrate,wheypowder_partially_lactose_free_25_45_20,95.5,20.42,26.7,3.14,0,NA,3817.86,3350.78534,2596.858639
concentrate,wheypowder_partially_lactose_free_20_fat,95.5,16.34,21.36,20.94,0,NA,4914.08,4178.010471,3570.680628
concentrate,whey_permeate,95.9,8.86,3.65,0.52,0,NA,3834.03,3529.718457,2481.751825
concentrate,butterfat,100,0,0,100,0,88,9740,8850,7900
concentrate,tallow,100,0,0,100,0,NA,9740,8050,8000
concentrate,lard,100,0,0,100,0,99.5,9740,8300,8400
concentrate,animal_fat_3_5,100,0,0,100,0,NA,9740,8300,8405
concentrate,animal_fat_5_9,100,0,0,100,0,NA,9740,8270,8375
concentrate,animal_fat_9_12,100,0,0,100,0,NA,9740,8220,8345
concentrate,poultry_fat,100,0,0,100,0,NA,9740,8550,8650
concentrate,chilean_fish_oil,100,0,0,100,0,NA,9740,8300,8400
concentrate,nordic_fish_oil,100,0,0,100,0,NA,9740,8300,8400
concentrate,national_fish_oil,100,0,0,100,0,NA,9740,8300,8400
concentrate,fish_acid_oil_oleins,100,0,0,100,0,NA,9740,7720,7600
concentrate,cotton_oil,100,0,0,100,0,NA,9740,0,0
concentrate,corn_oil,100,0,0,100,0,NA,9740,0,0
concentrate,soybean_oil,100,0,0,100,0,83.7,9740,8690,8750
concentrate,rapeseed_oil,100,0,0,100,0,NA,9740,8650,8700
concentrate,sunflower_oil,100,0,0,100,0,NA,9740,8550,8600
concentrate,high_oleic_sunflower_oil,100,0,0,100,0,NA,9740,8500,8550
concentrate,olive_oil,100,0,0,100,0,NA,9740,8660,8600
concentrate,palm_oil,100,0,0,100,0,80.9,9740,8350,8400
concentrate,coconut_oil,100,0,0,100,0,NA,9740,8700,8700
concentrate,palm_stearin,100,0,0,100,0,NA,9740,7950,8200
concentrate,palm_kernel_oil,100,0,0,100,0,NA,9740,0,0
concentrate,linseed_oil,100,0,0,100,0,NA,9740,0,0
concentrate,peanut_oil,100,0,0,100,0,NA,9740,0,0
concentrate,crude_soybean_lecithins,99,4.55,0,93.23,0,NA,9160.68,7484.848485,7595.959596
concentrate,soya_acid_oil_oleins,100,0,0,100,0,NA,9740,8050,8250
concentrate,sunflower_acid_oil_oleins,100,0,0,100,0,NA,9740,8100,8300
concentrate,olive_acid_oil_oleins,100,0,0,100,0,NA,9740,8000,8050
concentrate,coconut_acid_oil_oleins,100,0,0,100,0,NA,9740,8000,7400
concentrate,palm_distillers,100,0,0,100,0,NA,9740,7700,7800
concentrate,yellow_grease,100,0,0,97,0,NA,9572,8090,8100
concentrate,grasoleins_gt_50,100,0,0,96,0,NA,9516,8000,8100
concentrate,grasoleins_gt_35,100,0,0,94,0,NA,9404,7000,7050
concentrate,grasoleins_lt_20,100,0,0,93,0,NA,9348,6520,6550
concentrate,palm_calcium_soap,100,16,0,84,0,NA,8140,6400,6600
concentrate,mixed_calcium_soaps,100,16,0,84,0,0,8140,6350,6440
concentrate,hydrogenated_fat_gt_55,100,0,0,98,0,NA,9628,6900,6820
concentrate,hydrogenated_fat_gt_90,100,0,0,98.5,0,NA,9656,6600,6750
concentrate,glycerin_85,90.7,4.96,0,0.44,0,NA,3946.4,3869.900772,3902.976847
concentrate,calcium_carbonate,98,100,0,0,0,0,-260,0,0
concentrate,oyster_shells,99.7,98.8,0,0,0,NA,-207.2,0,0
concentrate,mollusk_shells,99,97.68,0,0,0,NA,-157.92,0,0
concentrate,maerl_marine_algae,99.5,97.49,0,0,0,NA,-149.56,0,0
concentrate,dolomitic_carbonate,99.5,98.49,0,0,0,NA,-193.56,0,0
concentrate,bone_meal_degelatinized,97.5,86.15,8.21,3.08,0,NA,645.03,0,0
concentrate,stone_phosphate_defluorinized,99.4,99.6,0,0,0,NA,-242.4,0,0
concentrate,dicalcium_phosphate_anhydrous,99.7,88.26,0,0,0,NA,256.56,0,0
concentrate,dicalcium_phosphate_dihydrated,98,81.63,0,0,0,0,548.28,0,0
concentrate,mono_dicalcium_phosphate_hydrated,98,84.69,0,0,0,NA,413.64,0,0
concentrate,monocalcium_phosphate_hydrated,98,79.59,0,0,0,NA,638.04,0,0
concentrate,monosodium_phosphate_monohydrated,98.5,82.23,0,0,0,NA,521.88,0,0
concentrate,calcium_sodium_phosphate,98.5,99.49,0,0,0,NA,-237.56,0,0
concentrate,magnesium_phosphate_hydrated,97.5,77.95,0,0,0,NA,710.2,0,0
